gene_callers_id	source	accession	function	e_value
1926	KOfam	K07263	zinc protease [EC:3.4.24.-]	3e-128
1925	KOfam	K07263	zinc protease [EC:3.4.24.-]	1.4e-83
1951	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	2.4e-18
1892	KOfam	K03549	KUP system potassium uptake protein	1.6e-196
1940	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	3.2e-110
1922	KOfam	K01759	lactoylglutathione lyase [EC:4.4.1.5]	8e-31
1994	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	2.8e-98
1953	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	6.6e-87
1941	KOfam	K01166	ribonuclease T2 [EC:4.6.1.19]	4.3e-40
1930	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	1.7e-47
1936	KOfam	K08744	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	1.3e-55
1898	KOfam	K22622	S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]	2.7e-84
1872	KOfam	K02055	putative spermidine/putrescine transport system substrate-binding protein	1.4e-68
1911	KOfam	K07058	membrane protein	1.1e-25
1903	KOfam	K00426	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	1.1e-26
1902	KOfam	K00426	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	5.9e-10
1945	KOfam	K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	8.2e-139
1902	KOfam	K00425	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	5.1e-134
1974	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	5.6e-56
1938	KOfam	K16079	outer membrane immunogenic protein	3e-59
1909	KOfam	K16079	outer membrane immunogenic protein	2.3e-45
1969	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	4e-140
1990	KOfam	K03702	excinuclease ABC subunit B	0
1937	KOfam	K03703	excinuclease ABC subunit C	5.2e-230
1962	KOfam	K07161	uncharacterized protein	1.1e-98
1950	KOfam	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	6.6e-156
1955	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	1.4e-50
1963	KOfam	K07402	xanthine dehydrogenase accessory factor	4.3e-57
1909	KOfam	K16080	high affinity Mn2+ porin	1.1e-191
1939	KOfam	K03704	cold shock protein	1.2e-33
1964	KOfam	K09386	uncharacterized protein	3.4e-69
1975	KOfam	K09806	ubiquinone biosynthesis accessory factor UbiK	7.3e-11
1886	KOfam	K02012	iron(III) transport system substrate-binding protein	4.6e-63
1899	KOfam	K17225	sulfane dehydrogenase subunit SoxC	1.5e-190
1936	KOfam	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	6.2e-43
1977	KOfam	K01056	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	2.8e-73
1995	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	2.7e-31
1996	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	5.5e-17
1960	KOfam	K03520	aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]	0
1971	KOfam	K05810	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]	5.9e-76
1924	KOfam	K15034	ribosome-associated protein	5.1e-59
