gene_callers_id	source	accession	function	e_value
1516	KOfam	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	1.9e-191
1563	KOfam	K01406	serralysin [EC:3.4.24.40]	5.7e-30
1576	KOfam	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	3e-140
1464	KOfam	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	4.2e-138
1548	KOfam	K03406	methyl-accepting chemotaxis protein	2e-65
1559	KOfam	K03406	methyl-accepting chemotaxis protein	3.8e-59
1596	KOfam	K24126	lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	1.1e-84
1538	KOfam	K01012	biotin synthase [EC:2.8.1.6]	1.9e-149
1572	KOfam	K07267	porin	2.7e-50
1591	KOfam	K02594	homocitrate synthase NifV [EC:2.3.3.14]	2.9e-163
1532	KOfam	K01658	anthranilate synthase component II [EC:4.1.3.27]	6.9e-89
1533	KOfam	K01665	para-aminobenzoate synthetase component I [EC:2.6.1.85]	1.3e-163
1592	KOfam	K02595	nitrogenase-stabilizing/protective protein	3.8e-42
1586	KOfam	K02597	nitrogen fixation protein NifZ	1.6e-42
1607	KOfam	K10805	acyl-CoA thioesterase II [EC:3.1.2.-]	2.4e-120
1459	KOfam	K16079	outer membrane immunogenic protein	7.9e-41
1456	KOfam	K15773	HTH-type transcriptional regulator / antitoxin HipB	1.8e-19
1541	KOfam	K01935	dethiobiotin synthetase [EC:6.3.3.3]	4.1e-61
1568	KOfam	K02596	nitrogen fixation protein NifX	8.7e-63
1567	KOfam	K02592	nitrogenase molybdenum-iron protein NifN	5.8e-203
1564	KOfam	K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	8.7e-221
1525	KOfam	K20531	type IV secretion system protein TrbF	1.7e-112
1581	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	1.7e-162
1521	KOfam	K20530	type IV secretion system protein TrbE [EC:7.4.2.8]	0
1566	KOfam	K02587	nitrogenase molybdenum-cofactor synthesis protein NifE	5.7e-244
1582	KOfam	K02593	nitrogen fixation protein NifT	2.7e-32
1595	KOfam	K03855	ferredoxin like protein	2.2e-33
1546	KOfam	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]	1.5e-122
1584	KOfam	K02585	nitrogen fixation protein NifB	1.3e-205
1565	KOfam	K02591	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	6.2e-196
1526	KOfam	K20532	type IV secretion system protein TrbG	3.2e-115
1598	KOfam	K03704	cold shock protein	4e-31
1552	KOfam	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]	2.7e-57
1527	KOfam	K20533	type IV secretion system protein TrbI	3.4e-148
1526	KOfam	K20533	type IV secretion system protein TrbI	1e-112
1518	KOfam	K20527	type IV secretion system protein TrbB [EC:7.4.2.8]	2.8e-161
1468	KOfam	K00407	cytochrome c oxidase cbb3-type subunit IV	3e-11
1556	KOfam	K00956	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	6.9e-204
1593	KOfam	K03522	electron transfer flavoprotein alpha subunit	4.8e-120
1557	KOfam	K00957	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	3.6e-172
1469	KOfam	K00406	cytochrome c oxidase cbb3-type subunit III	1.1e-93
1589	KOfam	K02588	nitrogenase iron protein NifH	3.8e-143
1590	KOfam	K15790	nitrogen fixation protein NifQ	1.6e-76
1466	KOfam	K00404	cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]	4.5e-231
1520	KOfam	K20529	type IV secretion system protein TrbD	7.1e-38
1502	KOfam	K09144	uncharacterized protein	3.1e-50
1545	KOfam	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	5.6e-122
1556	KOfam	K00955	bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	2e-299
1606	KOfam	K01451	hippurate hydrolase [EC:3.5.1.32]	6e-160
1457	KOfam	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]	5.4e-87
1503	KOfam	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]	2.1e-46
1519	KOfam	K20528	type IV secretion system protein TrbC	4.8e-48
1482	KOfam	K03497	ParB family transcriptional regulator, chromosome partitioning protein	1.5e-30
1522	KOfam	K20266	type IV secretion system protein TrbJ	3.1e-77
1573	KOfam	K22303	alkyl sulfatase [EC:1.14.11.77]	4.7e-137
1467	KOfam	K00405	cytochrome c oxidase cbb3-type subunit II	1.4e-99
1490	KOfam	K03531	cell division protein FtsZ	4.5e-158
1543	KOfam	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	7.7e-166
1524	KOfam	K07344	type IV secretion system protein TrbL	2e-122
1529	KOfam	K22955	acyl homoserine lactone synthase [EC:2.3.1.184]	6.6e-84
1530	KOfam	K19732	LuxR family transcriptional regulator, activator of conjugal transfer of Ti plasmids	2.4e-81
1483	KOfam	K26273	protein strawberry notch	1.1e-252
1478	KOfam	K15861	CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein	4.8e-81
1539	KOfam	K01579	aspartate 1-decarboxylase [EC:4.1.1.11]	3.2e-59
1603	KOfam	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	2.4e-128
1531	KOfam	K00259	alanine dehydrogenase [EC:1.4.1.1]	9.5e-173
1554	KOfam	K07734	transcriptional regulator	9.8e-84
1474	KOfam	K07481	transposase, IS5 family	9.7e-28
1594	KOfam	K00313	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	2.7e-169
1461	KOfam	K14986	two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]	3.9e-170
1462	KOfam	K14987	two-component system, LuxR family, response regulator FixJ	1.8e-89
7048	KOfam	K03414	chemotaxis protein CheZ	4.6e-49
7003	KOfam	K07263	zinc protease [EC:3.4.24.-]	5.4e-133
7004	KOfam	K07263	zinc protease [EC:3.4.24.-]	4.4e-79
6976	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	1.7e-18
6986	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	3e-110
7025	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	1.8e-164
7015	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	3.1e-68
7040	KOfam	K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	2.2e-54
7008	KOfam	K01759	lactoylglutathione lyase [EC:4.4.1.5]	1.2e-31
7030	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	1.1e-106
6934	KOfam	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]	1.3e-110
6943	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	4.8e-98
7012	KOfam	K03572	DNA mismatch repair protein MutL	1.2e-214
6974	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	1.7e-82
6985	KOfam	K01166	ribonuclease T2 [EC:4.6.1.19]	1.6e-36
6998	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	1.4e-46
