gene_callers_id	source	accession	function	e_value
6839	KOfam	K03414	chemotaxis protein CheZ	6.3e-49
6794	KOfam	K07263	zinc protease [EC:3.4.24.-]	8.3e-132
6795	KOfam	K07263	zinc protease [EC:3.4.24.-]	9.6e-81
6767	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	8.3e-18
6777	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	3.5e-112
6815	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	1.3e-165
6806	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	6.7e-67
6830	KOfam	K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	3.4e-52
6799	KOfam	K01759	lactoylglutathione lyase [EC:4.4.1.5]	1.4e-30
6820	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	9.4e-105
6725	KOfam	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]	2.2e-109
6734	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	2.6e-101
6803	KOfam	K03572	DNA mismatch repair protein MutL	1.3e-216
6765	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	1.3e-85
6776	KOfam	K01166	ribonuclease T2 [EC:4.6.1.19]	7.6e-38
6789	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	2.8e-47
6821	KOfam	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	3.5e-155
6781	KOfam	K08744	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	5e-54
6808	KOfam	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	1.7e-212
6805	KOfam	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	3.4e-128
6786	KOfam	K07058	membrane protein	4.1e-80
6807	KOfam	K01561	haloacetate dehalogenase [EC:3.8.1.3]	3.1e-137
6829	KOfam	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	2.1e-69
6772	KOfam	K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	2.2e-141
6752	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	1.5e-56
6834	KOfam	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	1.6e-127
6779	KOfam	K16079	outer membrane immunogenic protein	8.3e-59
6757	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	1.1e-138
6737	KOfam	K03702	excinuclease ABC subunit B	0
6841	KOfam	K04078	chaperonin GroES	3.8e-49
6780	KOfam	K03703	excinuclease ABC subunit C	3.7e-230
6836	KOfam	K09945	uncharacterized protein	4.5e-57
6759	KOfam	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]	1.2e-67
6792	KOfam	K03101	signal peptidase II [EC:3.4.23.36]	6.4e-43
6845	KOfam	K03303	lactate permease	3.2e-179
6768	KOfam	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	8.4e-154
6763	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	1.7e-48
6719	KOfam	K00812	aspartate aminotransferase [EC:2.6.1.1]	1.2e-186
6850	KOfam	K11472	glycolate dehydrogenase FAD-binding subunit [EC:1.1.99.14]	6.1e-100
6778	KOfam	K03704	cold shock protein	3.8e-35
6717	KOfam	K02355	elongation factor G	2.5e-173
6849	KOfam	K11473	glycolate dehydrogenase iron-sulfur subunit [EC:1.1.99.14]	1e-166
6751	KOfam	K09806	ubiquinone biosynthesis accessory factor UbiK	3.9e-11
6833	KOfam	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]	6.7e-68
6781	KOfam	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	9.2e-42
6748	KOfam	K01056	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	9e-76
6720	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	1.1e-35
6713	KOfam	K00014	shikimate dehydrogenase [EC:1.1.1.25]	5.8e-94
6755	KOfam	K05810	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]	7e-77
6796	KOfam	K15034	ribosome-associated protein	4.9e-61
6824	KOfam	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	9.3e-65
6791	KOfam	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	7.1e-296
6804	KOfam	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	9.4e-68
6853	KOfam	K08738	cytochrome c	7e-29
6798	KOfam	K08738	cytochrome c	5.9e-24
6714	KOfam	K03321	sulfate permease, SulP family	1.2e-141
6842	KOfam	K04077	chaperonin GroEL [EC:5.6.1.7]	5.7e-279
6753	KOfam	K13292	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]	1.4e-81
6766	KOfam	K18700	fluoroacetyl-CoA thioesterase [EC:3.1.2.29]	5e-44
6769	KOfam	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	1.3e-138
6730	KOfam	K07486	transposase	1.2e-55
6827	KOfam	K03179	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]	4.6e-119
6787	KOfam	K13593	cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF	2.6e-181
6710	KOfam	K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	5.8e-155
6858	KOfam	K02919	large subunit ribosomal protein L36	7.2e-14
6782	KOfam	K03636	sulfur-carrier protein	3.4e-14
6832	KOfam	K02502	ATP phosphoribosyltransferase regulatory subunit	4.8e-85
6784	KOfam	K07320	ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]	2e-131
6783	KOfam	K03635	molybdopterin synthase catalytic subunit [EC:2.8.1.12]	1.3e-49
6747	KOfam	K06942	ribosome-binding ATPase	9.1e-121
6733	KOfam	K07090	uncharacterized protein	3e-14
6750	KOfam	K07481	transposase, IS5 family	1.3e-78
6716	KOfam	K07497	putative transposase	6.2e-29
6754	KOfam	K18164	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7	3.5e-153
6846	KOfam	K02471	vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	2.7e-252
6859	KOfam	K07045	uncharacterized protein	1.6e-58
6749	KOfam	K02897	large subunit ribosomal protein L25	3.8e-72
6825	KOfam	K03592	PmbA protein	1.9e-178
6852	KOfam	K00104	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	7e-212
6708	KOfam	K03431	phosphoglucosamine mutase [EC:5.4.2.10]	5.3e-216
6790	KOfam	K11753	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	1.2e-107
1668	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	9.3e-242
1621	KOfam	K04030	ethanolamine utilization protein EutQ	4.6e-38
1563	KOfam	K01799	maleate isomerase [EC:5.2.1.1]	4.8e-47
1570	KOfam	K02053	putative spermidine/putrescine transport system permease protein	7.6e-80
1571	KOfam	K02052	putative spermidine/putrescine transport system ATP-binding protein	9.3e-160
1569	KOfam	K02054	putative spermidine/putrescine transport system permease protein	3.5e-68
1587	KOfam	K02033	peptide/nickel transport system permease protein	3.4e-114
1591	KOfam	K02032	peptide/nickel transport system ATP-binding protein	1.3e-245
1713	KOfam	K01841	phosphoenolpyruvate phosphomutase [EC:5.4.2.9]	3.4e-137
1591	KOfam	K02031	peptide/nickel transport system ATP-binding protein	2.6e-244
1666	KOfam	K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	2.8e-269
1589	KOfam	K02035	peptide/nickel transport system substrate-binding protein	5.3e-97
1701	KOfam	K01845	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	7.5e-139
1588	KOfam	K02034	peptide/nickel transport system permease protein	7.7e-107
1586	KOfam	K01271	Xaa-Pro dipeptidase [EC:3.4.13.9]	5.3e-83
1605	KOfam	K01271	Xaa-Pro dipeptidase [EC:3.4.13.9]	8.3e-80
1697	KOfam	K07749	formyl-CoA transferase [EC:2.8.3.16]	1.2e-172
1705	KOfam	K07749	formyl-CoA transferase [EC:2.8.3.16]	3.5e-172
1698	KOfam	K00836	diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]	1.1e-191
1609	KOfam	K03522	electron transfer flavoprotein alpha subunit	2.6e-136
1699	KOfam	K01692	enoyl-CoA hydratase [EC:4.2.1.17]	2.9e-75
1694	KOfam	K01692	enoyl-CoA hydratase [EC:4.2.1.17]	2.8e-72
1648	KOfam	K00612	carbamoyltransferase [EC:2.1.3.-]	6.3e-119
1603	KOfam	K03521	electron transfer flavoprotein beta subunit	1e-108
1683	KOfam	K22303	alkyl sulfatase [EC:1.14.11.77]	5.9e-138
1560	KOfam	K22303	alkyl sulfatase [EC:1.14.11.77]	2e-129
1697	KOfam	K18702	CoA:oxalate CoA-transferase [EC:2.8.3.19]	2.8e-170
1705	KOfam	K18702	CoA:oxalate CoA-transferase [EC:2.8.3.19]	2.1e-169
1654	KOfam	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]	5.2e-74
