gene_callers_id	source	accession	function	e_value
6914	KOfam	K03414	chemotaxis protein CheZ	3.5e-50
6868	KOfam	K07263	zinc protease [EC:3.4.24.-]	3.5e-129
6869	KOfam	K07263	zinc protease [EC:3.4.24.-]	5e-82
6841	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	9.7e-19
6851	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	2.5e-113
6889	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	1e-167
6880	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	7.8e-69
6904	KOfam	K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	3.9e-54
6873	KOfam	K01759	lactoylglutathione lyase [EC:4.4.1.5]	8e-32
6894	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	1.8e-104
6799	KOfam	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]	7.5e-109
6808	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	1.5e-101
6877	KOfam	K03572	DNA mismatch repair protein MutL	1.2e-216
6839	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	4.3e-85
6850	KOfam	K01166	ribonuclease T2 [EC:4.6.1.19]	1.2e-39
6863	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	2.8e-47
6895	KOfam	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	6e-153
6855	KOfam	K08744	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	3.9e-56
6882	KOfam	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	3.4e-212
6949	KOfam	K01560	2-haloacid dehalogenase [EC:3.8.1.2]	2.1e-68
6943	KOfam	K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	5.4e-41
6879	KOfam	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	6.6e-122
6860	KOfam	K07058	membrane protein	6.7e-84
6881	KOfam	K01561	haloacetate dehalogenase [EC:3.8.1.3]	1.4e-134
6903	KOfam	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	3.2e-66
6846	KOfam	K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	2.8e-141
6826	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	1.4e-53
6908	KOfam	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	1.6e-128
6853	KOfam	K16079	outer membrane immunogenic protein	9.1e-58
6831	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	4.1e-141
6811	KOfam	K03702	excinuclease ABC subunit B	0
6916	KOfam	K04078	chaperonin GroES	2.2e-49
6854	KOfam	K03703	excinuclease ABC subunit C	1.4e-230
6910	KOfam	K09945	uncharacterized protein	5.1e-47
6833	KOfam	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]	5.5e-66
