gene_callers_id	source	accession	function	e_value
4470	KOfam	K03549	KUP system potassium uptake protein	8.1e-194
4576	KOfam	K07305	peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]	1.4e-67
4616	KOfam	K07267	porin	1.8e-109
4575	KOfam	K09471	gamma-glutamylputrescine oxidase [EC:1.4.3.-]	3.7e-119
4503	KOfam	K02033	peptide/nickel transport system permease protein	1.9e-114
4500	KOfam	K02032	peptide/nickel transport system ATP-binding protein	2.1e-141
4577	KOfam	K02390	flagellar hook protein FlgE	3.6e-94
4501	KOfam	K02031	peptide/nickel transport system ATP-binding protein	9e-135
4499	KOfam	K02035	peptide/nickel transport system substrate-binding protein	2.1e-93
4502	KOfam	K02034	peptide/nickel transport system permease protein	5.6e-102
4574	KOfam	K08296	phosphohistidine phosphatase [EC:3.1.3.-]	6.9e-53
4588	KOfam	K03704	cold shock protein	4e-35
4466	KOfam	K03704	cold shock protein	2.1e-34
4469	KOfam	K06132	cardiolipin synthase C [EC:2.7.8.-]	3.5e-166
4578	KOfam	K02396	flagellar hook-associated protein 1	9e-100
4522	KOfam	K15977	putative oxidoreductase	1.5e-19
4467	KOfam	K09781	uncharacterized protein	7.3e-132
4573	KOfam	K14061	universal stress protein F	1.6e-45
4561	KOfam	K03535	MFS transporter, ACS family, glucarate transporter	4.6e-171
4601	KOfam	K14060	putative DNA-invertase from lambdoid prophage Rac	1e-54
4593	KOfam	K02014	iron complex outermembrane recepter protein	5.7e-74
4603	KOfam	K07486	transposase	9.3e-71
4523	KOfam	K07486	transposase	2.1e-14
4583	KOfam	K01593	aromatic-L-amino-acid/L-tryptophan decarboxylase [EC:4.1.1.28 4.1.1.105]	1.8e-166
4565	KOfam	K08166	MFS transporter, DHA2 family, methylenomycin A resistance protein	9.1e-173
4497	KOfam	K09136	ribosomal protein S12 methylthiotransferase accessory factor	4.5e-67
4490	KOfam	K07090	uncharacterized protein	5.2e-14
4584	KOfam	K06601	flagellar biosynthesis repressor protein FlbT	4e-50
4604	KOfam	K07497	putative transposase	8e-37
4602	KOfam	K07497	putative transposase	2.1e-16
4524	KOfam	K13583	GcrA cell cycle regulator	4e-19
6248	KOfam	K17662	cytochrome b pre-mRNA-processing protein 3	2.6e-48
6257	KOfam	K07738	transcriptional repressor NrdR	1.9e-65
6201	KOfam	K03406	methyl-accepting chemotaxis protein	8.1e-59
6220	KOfam	K03407	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	1.3e-215
