gene_callers_id	source	accession	function	e_value
1576	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	3.1e-213
1503	KOfam	K00652	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	7.7e-139
1598	KOfam	K01799	maleate isomerase [EC:5.2.1.1]	4.5e-47
1587	KOfam	K02053	putative spermidine/putrescine transport system permease protein	4.4e-120
1479	KOfam	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	1e-190
1526	KOfam	K01406	serralysin [EC:3.4.24.40]	5.6e-30
1539	KOfam	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	4.1e-140
1588	KOfam	K02052	putative spermidine/putrescine transport system ATP-binding protein	4e-158
1511	KOfam	K03406	methyl-accepting chemotaxis protein	1.9e-65
1522	KOfam	K03406	methyl-accepting chemotaxis protein	3.8e-59
1559	KOfam	K24126	lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	4.6e-83
1501	KOfam	K01012	biotin synthase [EC:2.8.1.6]	4.3e-150
1535	KOfam	K07267	porin	2.7e-50
1587	KOfam	K02054	putative spermidine/putrescine transport system permease protein	2.6e-125
1554	KOfam	K02594	homocitrate synthase NifV [EC:2.3.3.14]	2.9e-163
1495	KOfam	K01658	anthranilate synthase component II [EC:4.1.3.27]	6.9e-89
1496	KOfam	K01665	para-aminobenzoate synthetase component I [EC:2.6.1.85]	1.8e-162
1555	KOfam	K02595	nitrogenase-stabilizing/protective protein	6.5e-43
1549	KOfam	K02597	nitrogen fixation protein NifZ	1.6e-42
1570	KOfam	K10805	acyl-CoA thioesterase II [EC:3.1.2.-]	2.1e-119
1504	KOfam	K01935	dethiobiotin synthetase [EC:6.3.3.3]	2.9e-61
1531	KOfam	K02596	nitrogen fixation protein NifX	7.3e-63
1530	KOfam	K02592	nitrogenase molybdenum-iron protein NifN	1.6e-203
1527	KOfam	K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1.9e-215
1488	KOfam	K20531	type IV secretion system protein TrbF	6.8e-113
