gene_callers_id	source	accession	function	e_value
6769	KOfam	K07302	isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]	2e-90
6654	KOfam	K02050	NitT/TauT family transport system permease protein	1e-75
6738	KOfam	K02050	NitT/TauT family transport system permease protein	2.5e-65
6714	KOfam	K07263	zinc protease [EC:3.4.24.-]	1.4e-128
6713	KOfam	K07263	zinc protease [EC:3.4.24.-]	8.4e-79
6770	KOfam	K07303	isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]	1.8e-303
6766	KOfam	K03406	methyl-accepting chemotaxis protein	6.5e-47
6765	KOfam	K03406	methyl-accepting chemotaxis protein	3.6e-45
6709	KOfam	K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1.3e-142
6694	KOfam	K24126	lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	2.1e-82
6760	KOfam	K07098	uncharacterized protein	9.9e-71
6705	KOfam	K13628	iron-sulfur cluster assembly protein	1.1e-43
6763	KOfam	K01159	crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]	5.7e-78
6691	KOfam	K02595	nitrogenase-stabilizing/protective protein	8e-41
6698	KOfam	K02597	nitrogen fixation protein NifZ	6.6e-42
6697	KOfam	K02597	nitrogen fixation protein NifZ	1.4e-25
6773	KOfam	K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	2.7e-45
6718	KOfam	K02596	nitrogen fixation protein NifX	9.4e-61
6719	KOfam	K02592	nitrogenase molybdenum-iron protein NifN	1.7e-197
6722	KOfam	K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	1.6e-221
6703	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	8.1e-157
6720	KOfam	K02587	nitrogenase molybdenum-cofactor synthesis protein NifE	1.3e-245
6702	KOfam	K02593	nitrogen fixation protein NifT	1.4e-33
6687	KOfam	K03855	ferredoxin like protein	7.3e-35
6701	KOfam	K02585	nitrogen fixation protein NifB	4.1e-202
6721	KOfam	K02591	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	9e-196
6744	KOfam	K03704	cold shock protein	5.3e-34
6662	KOfam	K11103	aerobic C4-dicarboxylate transport protein	1.9e-198
6772	KOfam	K09769	2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16]	1.3e-122
6689	KOfam	K03522	electron transfer flavoprotein alpha subunit	9.9e-120
6693	KOfam	K02588	nitrogenase iron protein NifH	1.1e-142
6692	KOfam	K15790	nitrogen fixation protein NifQ	1.9e-78
6647	KOfam	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	3e-51
6636	KOfam	K03497	ParB family transcriptional regulator, chromosome partitioning protein	1.9e-31
6657	KOfam	K22303	alkyl sulfatase [EC:1.14.11.77]	1.1e-151
6654	KOfam	K15554	sulfonate transport system permease protein	9.7e-81
6738	KOfam	K15554	sulfonate transport system permease protein	2.2e-79
6757	KOfam	K18138	multidrug efflux pump	0
6730	KOfam	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	2.3e-266
6757	KOfam	K18307	multidrug efflux pump	0
6655	KOfam	K15555	sulfonate transport system ATP-binding protein [EC:7.6.2.14]	7.3e-108
6729	KOfam	K00428	cytochrome c peroxidase [EC:1.11.1.5]	1.6e-106
6625	KOfam	K07486	transposase	3.5e-50
6635	KOfam	K26273	protein strawberry notch	5.3e-249
6669	KOfam	K07493	putative transposase	2.6e-112
6723	KOfam	K07493	putative transposase	1.1e-70
6724	KOfam	K07493	putative transposase	1.3e-14
6764	KOfam	K18189	translational activator of cytochrome c oxidase 1	8.3e-65
6658	KOfam	K24116	N-acetyl-S-(2-succino)cysteine monooxygenase [EC:1.14.-.-]	2.6e-191
6683	KOfam	K11741	quaternary ammonium compound-resistance protein SugE	7.3e-46
6747	KOfam	K07484	transposase	1.8e-20
6727	KOfam	K07484	transposase	3e-06
6774	KOfam	K09888	cell division protein ZapA	8e-25
6681	KOfam	K07481	transposase, IS5 family	6.9e-66
6748	KOfam	K07483	transposase	2.4e-16
6688	KOfam	K00313	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	4.1e-165
6762	KOfam	K03550	holliday junction DNA helicase RuvA [EC:5.6.2.4]	2.6e-73
6759	KOfam	K06400	site-specific DNA recombinase	2.8e-93
6761	KOfam	K03551	holliday junction DNA helicase RuvB [EC:5.6.2.4]	6.6e-177
6655	KOfam	K02049	NitT/TauT family transport system ATP-binding protein	5.5e-122
3125	KOfam	K09702	uncharacterized protein	7.5e-70
3088	KOfam	K08225	MFS transporter, ENTS family, enterobactin (siderophore) exporter	4.3e-71
