gene_callers_id	source	accession	function	e_value
7058	KOfam	K03414	chemotaxis protein CheZ	7.4e-49
7013	KOfam	K07263	zinc protease [EC:3.4.24.-]	1.8e-127
7014	KOfam	K07263	zinc protease [EC:3.4.24.-]	4e-81
6985	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	9.9e-19
6995	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	8.1e-110
7034	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	8.4e-166
7025	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	3.1e-65
7049	KOfam	K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	8.4e-52
7018	KOfam	K01759	lactoylglutathione lyase [EC:4.4.1.5]	1.9e-30
7039	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	3.8e-105
6940	KOfam	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]	3.3e-107
6950	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	5.9e-98
7022	KOfam	K03572	DNA mismatch repair protein MutL	3.3e-216
6983	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	4e-82
6994	KOfam	K01166	ribonuclease T2 [EC:4.6.1.19]	3.1e-37
7008	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	8.8e-48
7040	KOfam	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	7.8e-153
7027	KOfam	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	2e-213
7024	KOfam	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	1.9e-126
7005	KOfam	K07058	membrane protein	5.6e-82
7026	KOfam	K01561	haloacetate dehalogenase [EC:3.8.1.3]	7.9e-134
7048	KOfam	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	6.4e-66
6990	KOfam	K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	2.4e-136
6970	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	1.7e-55
7053	KOfam	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	1.3e-124
6997	KOfam	K16079	outer membrane immunogenic protein	2e-55
6975	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	1.5e-137
6953	KOfam	K03702	excinuclease ABC subunit B	0
7060	KOfam	K04078	chaperonin GroES	1.6e-48
6998	KOfam	K03703	excinuclease ABC subunit C	1.9e-232
7055	KOfam	K09945	uncharacterized protein	2.9e-57
6977	KOfam	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]	2.4e-66
7011	KOfam	K03101	signal peptidase II [EC:3.4.23.36]	3.5e-41
7064	KOfam	K03303	lactate permease	1.6e-176
6986	KOfam	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	3.5e-150
6981	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	1.2e-48
6934	KOfam	K00812	aspartate aminotransferase [EC:2.6.1.1]	8.8e-186
7069	KOfam	K11472	glycolate dehydrogenase FAD-binding subunit [EC:1.1.99.14]	5.4e-128
6996	KOfam	K03704	cold shock protein	6.8e-35
6932	KOfam	K02355	elongation factor G	1.1e-170
7068	KOfam	K11473	glycolate dehydrogenase iron-sulfur subunit [EC:1.1.99.14]	5.3e-164
6969	KOfam	K09806	ubiquinone biosynthesis accessory factor UbiK	1.7e-11
7051	KOfam	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]	2.3e-66
7000	KOfam	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	2.7e-34
