gene_callers_id	source	accession	function	e_value
1126	KOfam	K01990	ABC-2 type transport system ATP-binding protein	2.2e-85
1077	KOfam	K01992	ABC-2 type transport system permease protein	3.3e-06
1022	KOfam	K12454	CDP-paratose 2-epimerase [EC:5.1.3.10]	1.8e-157
978	KOfam	K07267	porin	8.6e-40
962	KOfam	K07058	membrane protein	1.1e-86
1023	KOfam	K17947	dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]	5.7e-144
1101	KOfam	K02351	putative membrane protein	1.7e-75
1026	KOfam	K06320	spore maturation protein CgeB	6e-38
1017	KOfam	K06320	spore maturation protein CgeB	9.7e-35
1018	KOfam	K06320	spore maturation protein CgeB	5.3e-34
980	KOfam	K01507	inorganic pyrophosphatase [EC:3.6.1.1]	9e-26
1099	KOfam	K23995	lanthanide-dependent methanol dehydrogenase [EC:1.1.2.10]	2.9e-266
1125	KOfam	K13075	N-acyl homoserine lactone hydrolase [EC:3.1.1.81]	2.5e-69
988	KOfam	K07217	manganese catalase [EC:1.11.1.6]	2.5e-98
1110	KOfam	K09992	uncharacterized protein	2.2e-63
999	KOfam	K04080	molecular chaperone IbpA	2.2e-69
1121	KOfam	K04080	molecular chaperone IbpA	2.8e-68
1016	KOfam	K08678	UDP-glucuronate decarboxylase [EC:4.1.1.35]	2.1e-167
1098	KOfam	K16254	mxaJ protein	9e-105
1084	KOfam	K10979	DNA end-binding protein Ku	8.6e-72
1104	KOfam	K15408	cytochrome c oxidase subunit I+III [EC:7.1.1.9]	0
1028	KOfam	K01858	myo-inositol-1-phosphate synthase [EC:5.5.1.4]	1.1e-71
995	KOfam	K06884	uncharacterized protein	8.5e-12
990	KOfam	K01480	agmatinase [EC:3.5.3.11]	2.7e-64
1025	KOfam	K15257	tRNA (mo5U34)-methyltransferase [EC:2.1.1.-]	2.8e-85
1114	KOfam	K01989	putative tryptophan/tyrosine transport system substrate-binding protein	3.3e-43
1095	KOfam	K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	1.2e-261
986	KOfam	K00936	two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]	2.5e-61
1128	KOfam	K25153	gliding motility-associatede transport system auxiliary component	4.8e-71
1105	KOfam	K02275	cytochrome c oxidase subunit II [EC:7.1.1.9]	2.1e-71
1000	KOfam	K08995	putative membrane protein	8.4e-42
1126	KOfam	K25152	gliding motility-associated transport system ATP-binding protein	3.7e-110
991	KOfam	K07124	uncharacterized protein	9.3e-79
1049	KOfam	K01971	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	9e-87
1127	KOfam	K25151	gliding motility-associated transport system permease protein	7e-67
8193	KOfam	K08970	nickel/cobalt transporter (NicO) family protein	6.1e-55
8188	KOfam	K08970	nickel/cobalt transporter (NicO) family protein	5e-21
8085	KOfam	K02050	NitT/TauT family transport system permease protein	6.5e-63
8084	KOfam	K02050	NitT/TauT family transport system permease protein	6.4e-45
8107	KOfam	K16554	polysaccharide biosynthesis transport protein [EC:2.7.10.3]	2.5e-171
8080	KOfam	K01941	urea carboxylase [EC:6.3.4.6]	0
8244	KOfam	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]	6e-110
8253	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	1.2e-100
8067	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	1.4e-72
8226	KOfam	K08223	MFS transporter, FSR family, fosmidomycin resistance protein	1.2e-153
8073	KOfam	K13936	malonate transporter and related proteins	2.9e-78
8165	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	8e-59
8224	KOfam	K16079	outer membrane immunogenic protein	2.9e-39
8176	KOfam	K08482	circadian clock protein KaiC	8.6e-162
8217	KOfam	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	3.5e-135
8074	KOfam	K03707	thiaminase (transcriptional activator TenA) [EC:3.5.99.2]	4.8e-79
8066	KOfam	K00384	thioredoxin reductase (NADPH) [EC:1.8.1.9]	5e-147
8238	KOfam	K00812	aspartate aminotransferase [EC:2.6.1.1]	2e-185
8131	KOfam	K04080	molecular chaperone IbpA	2e-66
8236	KOfam	K02355	elongation factor G	2.6e-176
8068	KOfam	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	5.3e-78
8081	KOfam	K09967	uncharacterized protein	1.4e-93
8082	KOfam	K09967	uncharacterized protein	3.6e-81
8239	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	1.1e-33
8248	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	1e-18
8233	KOfam	K00014	shikimate dehydrogenase [EC:1.1.1.25]	5.9e-95
8249	KOfam	K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]	7.8e-76
8219	KOfam	K00831	phosphoserine aminotransferase [EC:2.6.1.52]	4.3e-59
8234	KOfam	K03321	sulfate permease, SulP family	9.3e-142
8065	KOfam	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	1.8e-55
8086	KOfam	K04063	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]	3.8e-45
8250	KOfam	K07152	protein SCO1	3.7e-65
8164	KOfam	K07486	transposase	1.6e-79
8230	KOfam	K07486	transposase	7.1e-69
8195	KOfam	K07486	transposase	1.2e-59
8211	KOfam	K07486	transposase	1.6e-58
8177	KOfam	K13587	two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	4.8e-154
8204	KOfam	K15861	CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein	2.9e-83
8229	KOfam	K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	1.1e-154
8187	KOfam	K07487	transposase	1.3e-56
8108	KOfam	K16566	exopolysaccharide production protein ExoY	3.6e-94
8252	KOfam	K07090	uncharacterized protein	1.7e-17
8064	KOfam	K03624	transcription elongation factor GreA	2.4e-74
8113	KOfam	K07483	transposase	1e-15
8111	KOfam	K07497	putative transposase	7.5e-53
8218	KOfam	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	7.2e-161
8227	KOfam	K03431	phosphoglucosamine mutase [EC:5.4.2.10]	4.2e-213
6033	KOfam	K24915	TMEM175 potassium channel family protein	1.4e-23
6082	KOfam	K08998	uncharacterized protein	1.4e-32
5970	KOfam	K21310	methanethiol S-methyltransferase [EC:2.1.1.334]	9.5e-29
6057	KOfam	K03406	methyl-accepting chemotaxis protein	2.6e-81
6037	KOfam	K08369	MFS transporter, putative metabolite:H+ symporter	8.4e-146
6074	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	1.3e-42
5965	KOfam	K02069	UDP-glucose/iron transport system permease protein	8.5e-82
6134	KOfam	K02054	putative spermidine/putrescine transport system permease protein	5e-69
6070	KOfam	K00858	NAD+ kinase [EC:2.7.1.23]	4.1e-36
6129	KOfam	K18446	triphosphatase [EC:3.6.1.25]	2.6e-152
6064	KOfam	K16079	outer membrane immunogenic protein	6.1e-61
6094	KOfam	K01868	threonyl-tRNA synthetase [EC:6.1.1.3]	1.5e-269
6024	KOfam	K02347	DNA polymerase (family X)	4e-201
6102	KOfam	K07001	NTE family protein	1e-77
5983	KOfam	K03470	ribonuclease HII [EC:3.1.26.4]	4.2e-84
6049	KOfam	K05571	multicomponent Na+:H+ antiporter subunit G	3e-32
6012	KOfam	K03704	cold shock protein	2.3e-32
5997	KOfam	K03704	cold shock protein	1.7e-31
5992	KOfam	K00344	NADPH:quinone reductase [EC:1.6.5.5]	9.4e-95
6099	KOfam	K00344	NADPH:quinone reductase [EC:1.6.5.5]	3.6e-87
6050	KOfam	K05566	multicomponent Na+:H+ antiporter subunit B	4.4e-29
6034	KOfam	K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	2.7e-154
6142	KOfam	K01726	gamma-carbonic anhydrase [EC:4.2.1.-]	4.9e-59
5967	KOfam	K02004	putative ABC transport system permease protein	2e-21
6113	KOfam	K05592	ATP-dependent RNA helicase DeaD [EC:3.6.4.13]	8.1e-182
6078	KOfam	K01496	phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]	5.8e-64
