gene_callers_id	source	accession	function	e_value
7664	KOfam	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]	5.3e-63
7813	KOfam	K07263	zinc protease [EC:3.4.24.-]	1.9e-124
7814	KOfam	K07263	zinc protease [EC:3.4.24.-]	4.4e-82
7689	KOfam	K10680	N-ethylmaleimide reductase [EC:1.-.-.-]	8e-177
7720	KOfam	K18433	type IV secretion system T-DNA border endonuclease VirD1	4.2e-54
7810	KOfam	K07499	putative transposase	2.1e-26
7801	KOfam	K01173	endonuclease G, mitochondrial	2.3e-47
7765	KOfam	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	2.6e-162
7683	KOfam	K03149	thiazole synthase [EC:2.8.1.10]	6.9e-123
7697	KOfam	K02444	DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor	3.5e-116
7721	KOfam	K18434	type IV secretion system T-DNA border endonuclease VirD2	6.6e-78
7701	KOfam	K10806	acyl-CoA thioesterase YciA [EC:3.1.2.-]	7.8e-62
7674	KOfam	K09165	dodecin	3.6e-22
7704	KOfam	K06445	acyl-CoA dehydrogenase [EC:1.3.99.-]	0
7703	KOfam	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	1.2e-117
7665	KOfam	K01845	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]	1.2e-103
7766	KOfam	K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	2.1e-58
7754	KOfam	K03496	chromosome partitioning protein	1.4e-54
7730	KOfam	K09144	uncharacterized protein	1.4e-25
7667	KOfam	K00570	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]	2.1e-45
7712	KOfam	K18303	multidrug efflux pump	0
7755	KOfam	K03497	ParB family transcriptional regulator, chromosome partitioning protein	1.1e-45
7644	KOfam	K02014	iron complex outermembrane recepter protein	8.2e-94
7684	KOfam	K00788	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	1e-55
7707	KOfam	K01053	gluconolactonase [EC:3.1.1.17]	3.9e-85
7733	KOfam	K07486	transposase	1.3e-57
7648	KOfam	K11178	xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]	2.9e-83
7734	KOfam	K07493	putative transposase	4.6e-86
7725	KOfam	K07493	putative transposase	8.1e-65
7653	KOfam	K19687	antitoxin VapB	6.9e-29
7727	KOfam	K19687	antitoxin VapB	9.6e-26
7694	KOfam	K17325	glycerol transport system ATP-binding protein	1.3e-165
7669	KOfam	K07080	uncharacterized protein	8.4e-45
