gene_callers_id	source	accession	function	e_value
1578	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	3.2e-213
1601	KOfam	K01799	maleate isomerase [EC:5.2.1.1]	4.5e-47
1589	KOfam	K02053	putative spermidine/putrescine transport system permease protein	1e-119
1481	KOfam	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	4.3e-191
1528	KOfam	K01406	serralysin [EC:3.4.24.40]	5.7e-30
1541	KOfam	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	6.6e-140
1590	KOfam	K02052	putative spermidine/putrescine transport system ATP-binding protein	4e-158
1513	KOfam	K03406	methyl-accepting chemotaxis protein	5.6e-67
1524	KOfam	K03406	methyl-accepting chemotaxis protein	5.8e-59
1561	KOfam	K24126	lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	7.4e-84
1503	KOfam	K01012	biotin synthase [EC:2.8.1.6]	1.7e-149
1537	KOfam	K07267	porin	2.7e-50
1589	KOfam	K02054	putative spermidine/putrescine transport system permease protein	1.7e-125
1609	KOfam	K02054	putative spermidine/putrescine transport system permease protein	3.7e-68
1556	KOfam	K02594	homocitrate synthase NifV [EC:2.3.3.14]	1.8e-162
1497	KOfam	K01658	anthranilate synthase component II [EC:4.1.3.27]	6.9e-89
1498	KOfam	K01665	para-aminobenzoate synthetase component I [EC:2.6.1.85]	7.8e-164
1557	KOfam	K02595	nitrogenase-stabilizing/protective protein	4.8e-44
1551	KOfam	K02597	nitrogen fixation protein NifZ	1.9e-42
1572	KOfam	K10805	acyl-CoA thioesterase II [EC:3.1.2.-]	4e-117
1506	KOfam	K01935	dethiobiotin synthetase [EC:6.3.3.3]	2.9e-61
1533	KOfam	K02596	nitrogen fixation protein NifX	9.2e-63
1532	KOfam	K02592	nitrogenase molybdenum-iron protein NifN	3.8e-204
1529	KOfam	K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	2.8e-219
1490	KOfam	K20531	type IV secretion system protein TrbF	1.5e-112
1546	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	1e-162
1486	KOfam	K20530	type IV secretion system protein TrbE [EC:7.4.2.8]	0
1531	KOfam	K02587	nitrogenase molybdenum-cofactor synthesis protein NifE	4.2e-248
1547	KOfam	K02593	nitrogen fixation protein NifT	2.7e-32
1560	KOfam	K03855	ferredoxin like protein	7.7e-34
1511	KOfam	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]	1.5e-122
1549	KOfam	K02585	nitrogen fixation protein NifB	1.2e-206
1530	KOfam	K02591	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	5.2e-196
1491	KOfam	K20532	type IV secretion system protein TrbG	1.4e-115
1563	KOfam	K03704	cold shock protein	4e-31
1517	KOfam	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]	4.1e-57
1492	KOfam	K20533	type IV secretion system protein TrbI	3.4e-148
1491	KOfam	K20533	type IV secretion system protein TrbI	7.9e-113
1483	KOfam	K20527	type IV secretion system protein TrbB [EC:7.4.2.8]	2.2e-162
1521	KOfam	K00956	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	1.6e-203
1558	KOfam	K03522	electron transfer flavoprotein alpha subunit	7.4e-119
1522	KOfam	K00957	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	7.1e-171
1554	KOfam	K02588	nitrogenase iron protein NifH	5.3e-143
1578	KOfam	K15786	aspartate-semialdehyde dehydrogenase [EC:1.2.1.-]	4.6e-231
1555	KOfam	K15790	nitrogen fixation protein NifQ	2.6e-77
1485	KOfam	K20529	type IV secretion system protein TrbD	7.1e-38
1467	KOfam	K09144	uncharacterized protein	3.1e-50
1510	KOfam	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	6.4e-122
1521	KOfam	K00955	bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	6.9e-302
1571	KOfam	K01451	hippurate hydrolase [EC:3.5.1.32]	4.3e-159
1468	KOfam	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]	4.2e-46
1590	KOfam	K02010	iron(III) transport system ATP-binding protein [EC:7.2.2.7]	1.2e-134
1484	KOfam	K20528	type IV secretion system protein TrbC	7.1e-49
1449	KOfam	K03497	ParB family transcriptional regulator, chromosome partitioning protein	8.9e-32
1487	KOfam	K20266	type IV secretion system protein TrbJ	1.7e-77
1538	KOfam	K22303	alkyl sulfatase [EC:1.14.11.77]	4.7e-137
1597	KOfam	K22303	alkyl sulfatase [EC:1.14.11.77]	2.1e-129
1579	KOfam	K15785	L-2,4-diaminobutyrate transaminase [EC:2.6.1.76]	1.3e-233
1456	KOfam	K03531	cell division protein FtsZ	8.8e-157
1508	KOfam	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	3.3e-164
1577	KOfam	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	1.4e-47
1489	KOfam	K07344	type IV secretion system protein TrbL	5.5e-122
1593	KOfam	K07486	transposase	3e-27
1494	KOfam	K22955	acyl homoserine lactone synthase [EC:2.3.1.184]	6.6e-84
