gene_callers_id	source	accession	function	e_value
7007	KOfam	K03414	chemotaxis protein CheZ	2e-49
6961	KOfam	K07263	zinc protease [EC:3.4.24.-]	6.6e-128
6933	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	3.1e-19
6943	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	9.8e-109
6983	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	2.4e-167
6974	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	2.6e-68
6998	KOfam	K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	9.7e-54
6988	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	7.7e-106
6890	KOfam	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]	1.8e-110
6899	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	4.2e-101
6971	KOfam	K03572	DNA mismatch repair protein MutL	1.3e-213
6931	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	2.1e-85
6942	KOfam	K01166	ribonuclease T2 [EC:4.6.1.19]	3.8e-37
6956	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	8.8e-47
6989	KOfam	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	8.6e-155
6948	KOfam	K08744	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	1.8e-55
6976	KOfam	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	2.4e-215
7036	KOfam	K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	2.7e-42
6973	KOfam	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	4.8e-125
6953	KOfam	K07058	membrane protein	4.4e-83
6975	KOfam	K01561	haloacetate dehalogenase [EC:3.8.1.3]	4.6e-131
6997	KOfam	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	4.1e-67
6938	KOfam	K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]	1.8e-138
6919	KOfam	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]	1.4e-55
7002	KOfam	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	1.3e-123
6945	KOfam	K16079	outer membrane immunogenic protein	3.7e-58
6924	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	2.7e-138
6902	KOfam	K03702	excinuclease ABC subunit B	0
7009	KOfam	K04078	chaperonin GroES	2.9e-48
6946	KOfam	K03703	excinuclease ABC subunit C	8.5e-129
6947	KOfam	K03703	excinuclease ABC subunit C	1.1e-99
7004	KOfam	K09945	uncharacterized protein	1.1e-56
6926	KOfam	K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]	1.5e-65
6959	KOfam	K03101	signal peptidase II [EC:3.4.23.36]	1.2e-40
7013	KOfam	K03303	lactate permease	1.3e-169
6934	KOfam	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	2.5e-153
6929	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	8.2e-48
6884	KOfam	K00812	aspartate aminotransferase [EC:2.6.1.1]	3.6e-182
7018	KOfam	K11472	glycolate dehydrogenase FAD-binding subunit [EC:1.1.99.14]	2.3e-123
6944	KOfam	K03704	cold shock protein	3.9e-35
6882	KOfam	K02355	elongation factor G	2.2e-173
7017	KOfam	K11473	glycolate dehydrogenase iron-sulfur subunit [EC:1.1.99.14]	1.5e-163
6918	KOfam	K09806	ubiquinone biosynthesis accessory factor UbiK	2.1e-11
7001	KOfam	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]	2.1e-67
