gene_callers_id	source	accession	function	e_value
1592	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	3.2e-213
1603	KOfam	K02053	putative spermidine/putrescine transport system permease protein	4.5e-119
1494	KOfam	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]	7.7e-191
1541	KOfam	K01406	serralysin [EC:3.4.24.40]	5.7e-30
1554	KOfam	K02495	oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]	9.9e-140
1604	KOfam	K02052	putative spermidine/putrescine transport system ATP-binding protein	9.5e-158
1526	KOfam	K03406	methyl-accepting chemotaxis protein	2.1e-65
1537	KOfam	K03406	methyl-accepting chemotaxis protein	4e-58
1575	KOfam	K24126	lipoyl-dependent peroxiredoxin subunit C [EC:1.11.1.28]	1.7e-80
1516	KOfam	K01012	biotin synthase [EC:2.8.1.6]	1.2e-149
1550	KOfam	K07267	porin	3.1e-52
1603	KOfam	K02054	putative spermidine/putrescine transport system permease protein	2.1e-123
1570	KOfam	K02594	homocitrate synthase NifV [EC:2.3.3.14]	2.9e-163
1510	KOfam	K01658	anthranilate synthase component II [EC:4.1.3.27]	2.2e-89
1511	KOfam	K01665	para-aminobenzoate synthetase component I [EC:2.6.1.85]	6e-164
1571	KOfam	K02595	nitrogenase-stabilizing/protective protein	6.6e-43
1565	KOfam	K02597	nitrogen fixation protein NifZ	1.6e-42
1560	KOfam	K02597	nitrogen fixation protein NifZ	8.6e-18
1586	KOfam	K10805	acyl-CoA thioesterase II [EC:3.1.2.-]	1.2e-119
1519	KOfam	K01935	dethiobiotin synthetase [EC:6.3.3.3]	4.3e-61
1546	KOfam	K02596	nitrogen fixation protein NifX	6.1e-62
1545	KOfam	K02592	nitrogenase molybdenum-iron protein NifN	7.5e-204
1542	KOfam	K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	3.9e-220
1503	KOfam	K20531	type IV secretion system protein TrbF	3e-113
1559	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	8.6e-162
1499	KOfam	K20530	type IV secretion system protein TrbE [EC:7.4.2.8]	0
1544	KOfam	K02587	nitrogenase molybdenum-cofactor synthesis protein NifE	2.6e-244
1560	KOfam	K02593	nitrogen fixation protein NifT	7.9e-34
1574	KOfam	K03855	ferredoxin like protein	1.9e-33
1524	KOfam	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]	1.1e-123
1562	KOfam	K02585	nitrogen fixation protein NifB	6.6e-208
1543	KOfam	K02591	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	7.9e-196
1504	KOfam	K20532	type IV secretion system protein TrbG	2.9e-116
1577	KOfam	K03704	cold shock protein	4e-31
1530	KOfam	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]	2.7e-57
1505	KOfam	K20533	type IV secretion system protein TrbI	8.3e-149
1504	KOfam	K20533	type IV secretion system protein TrbI	2.8e-113
1496	KOfam	K20527	type IV secretion system protein TrbB [EC:7.4.2.8]	3.5e-163
1534	KOfam	K00956	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	9.9e-205
1572	KOfam	K03522	electron transfer flavoprotein alpha subunit	2.3e-117
1535	KOfam	K00957	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	1.9e-173
1568	KOfam	K02588	nitrogenase iron protein NifH	7.1e-142
1592	KOfam	K15786	aspartate-semialdehyde dehydrogenase [EC:1.2.1.-]	4.6e-231
1569	KOfam	K15790	nitrogen fixation protein NifQ	1.6e-76
1498	KOfam	K20529	type IV secretion system protein TrbD	7.1e-38
1478	KOfam	K09144	uncharacterized protein	3.1e-50
1523	KOfam	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	5.6e-122
1534	KOfam	K00955	bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	4.8e-301
1585	KOfam	K01451	hippurate hydrolase [EC:3.5.1.32]	2.8e-160
1479	KOfam	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]	2.1e-66
1604	KOfam	K02010	iron(III) transport system ATP-binding protein [EC:7.2.2.7]	3.7e-134
1497	KOfam	K20528	type IV secretion system protein TrbC	1.3e-49
1460	KOfam	K03497	ParB family transcriptional regulator, chromosome partitioning protein	7.8e-31
1500	KOfam	K20266	type IV secretion system protein TrbJ	6.2e-77
1551	KOfam	K22303	alkyl sulfatase [EC:1.14.11.77]	1e-135
1593	KOfam	K15785	L-2,4-diaminobutyrate transaminase [EC:2.6.1.76]	2.8e-233
1468	KOfam	K03531	cell division protein FtsZ	2.4e-159
1521	KOfam	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	3e-166
1591	KOfam	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	3.7e-48
1502	KOfam	K07344	type IV secretion system protein TrbL	1.2e-120
1607	KOfam	K07486	transposase	2.3e-27
1507	KOfam	K22955	acyl homoserine lactone synthase [EC:2.3.1.184]	6.6e-84
1508	KOfam	K19732	LuxR family transcriptional regulator, activator of conjugal transfer of Ti plasmids	2.4e-80
1461	KOfam	K26273	protein strawberry notch	4.2e-249
1456	KOfam	K15861	CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein	2.4e-80
1517	KOfam	K01579	aspartate 1-decarboxylase [EC:4.1.1.11]	3.2e-59
1582	KOfam	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	2.9e-128
1509	KOfam	K00259	alanine dehydrogenase [EC:1.4.1.1]	9e-171
1532	KOfam	K07734	transcriptional regulator	4.1e-83
1451	KOfam	K07481	transposase, IS5 family	4.9e-31
1573	KOfam	K00313	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	8.2e-170
7054	KOfam	K03414	chemotaxis protein CheZ	9.8e-50
7009	KOfam	K07263	zinc protease [EC:3.4.24.-]	5.9e-130
7010	KOfam	K07263	zinc protease [EC:3.4.24.-]	1.1e-80
6982	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	2e-21
6992	KOfam	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]	6.3e-111
7030	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	1.4e-167
7020	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	1.3e-68
7045	KOfam	K04033	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	6.8e-53
7015	KOfam	K01759	lactoylglutathione lyase [EC:4.4.1.5]	1e-30
7035	KOfam	K00912	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	2.6e-107
6940	KOfam	K23107	1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]	1.8e-109
6950	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	4.8e-102
7018	KOfam	K03572	DNA mismatch repair protein MutL	2.8e-214
6980	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	3.8e-83
6991	KOfam	K01166	ribonuclease T2 [EC:4.6.1.19]	2.1e-36
7004	KOfam	K03413	two-component system, chemotaxis family, chemotaxis protein CheY	1e-46
7036	KOfam	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]	1.3e-155
6996	KOfam	K08744	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	1.3e-54
7023	KOfam	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	1.6e-131
