gene_callers_id	source	accession	function	e_value
6735	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	2.2e-203
6650	KOfam	K09919	uncharacterized protein	1.7e-19
6625	KOfam	K02913	large subunit ribosomal protein L33	8.1e-22
6715	KOfam	K01759	lactoylglutathione lyase [EC:4.4.1.5]	4.7e-45
6669	KOfam	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	2e-111
6638	KOfam	K08591	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	5.2e-76
6790	KOfam	K07488	transposase	4.3e-37
6692	KOfam	K02621	topoisomerase IV subunit A [EC:5.6.2.2]	4e-293
6642	KOfam	K08641	zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	3.4e-79
6651	KOfam	K13936	malonate transporter and related proteins	6.1e-68
6684	KOfam	K03474	pyridoxine 5-phosphate synthase [EC:2.6.99.2]	1.2e-113
6723	KOfam	K09005	uncharacterized protein	2e-48
6694	KOfam	K13075	N-acyl homoserine lactone hydrolase [EC:3.1.1.81]	6e-77
6640	KOfam	K01465	dihydroorotase [EC:3.5.2.3]	9.4e-120
6662	KOfam	K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	1.9e-224
6657	KOfam	K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	5.7e-30
6755	KOfam	K03111	single-strand DNA-binding protein	2.1e-50
6683	KOfam	K01139	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	4.9e-261
6749	KOfam	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]	2e-53
6682	KOfam	K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	6e-31
6636	KOfam	K04096	DNA processing protein	2.7e-120
6686	KOfam	K03100	signal peptidase I [EC:3.4.21.89]	2.1e-70
6678	KOfam	K03664	SsrA-binding protein	5e-76
6641	KOfam	K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	6.7e-136
6675	KOfam	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]	1.9e-122
6704	KOfam	K04080	molecular chaperone IbpA	1.1e-71
6722	KOfam	K03704	cold shock protein	2e-45
6659	KOfam	K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	2.3e-198
6676	KOfam	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	4.4e-125
6629	KOfam	K12573	ribonuclease R [EC:3.1.13.1]	5.7e-244
6693	KOfam	K16264	cobalt-zinc-cadmium efflux system protein	1e-120
6714	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	4.6e-34
6721	KOfam	K12410	NAD-dependent deacetylase [EC:2.3.1.286]	9.6e-77
