gene_callers_id	source	accession	function	e_value
3791	KOfam	K02871	large subunit ribosomal protein L13	3.3e-70
3753	KOfam	K17662	cytochrome b pre-mRNA-processing protein 3	7.4e-48
3742	KOfam	K07738	transcriptional repressor NrdR	4.7e-33
3743	KOfam	K07738	transcriptional repressor NrdR	2.2e-24
3801	KOfam	K04751	nitrogen regulatory protein P-II 1	4.7e-64
3807	KOfam	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	7e-105
3745	KOfam	K00793	riboflavin synthase [EC:2.5.1.9]	9.5e-69
3762	KOfam	K14731	epsilon-lactone hydrolase [EC:3.1.1.83]	2.7e-65
3788	KOfam	K06929	uncharacterized protein	2.1e-69
3803	KOfam	K23997	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	7.5e-124
3698	KOfam	K03474	pyridoxine 5-phosphate synthase [EC:2.6.99.2]	7.9e-114
3710	KOfam	K13075	N-acyl homoserine lactone hydrolase [EC:3.1.1.81]	9.4e-75
3721	KOfam	K01698	porphobilinogen synthase [EC:4.2.1.24]	3.9e-177
3683	KOfam	K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	5.1e-220
3728	KOfam	K01673	carbonic anhydrase [EC:4.2.1.1]	3.4e-44
3727	KOfam	K07001	NTE family protein	7.9e-49
3749	KOfam	K15987	K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.2.3.1]	1.8e-302
3697	KOfam	K01139	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	5e-262
3696	KOfam	K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	4.2e-31
3797	KOfam	K07010	putative glutamine amidotransferase	2.2e-71
3746	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	7.4e-52
3700	KOfam	K03100	signal peptidase I [EC:3.4.21.89]	1.7e-69
3692	KOfam	K03664	SsrA-binding protein	4.7e-76
3688	KOfam	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]	9.5e-124
3681	KOfam	K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	1e-196
3809	KOfam	K01338	ATP-dependent Lon protease [EC:3.4.21.53]	0
3818	KOfam	K01258	tripeptide aminopeptidase [EC:3.4.11.4]	1.6e-135
3798	KOfam	K07403	membrane-bound serine protease (ClpP class)	1.5e-152
3789	KOfam	K01692	enoyl-CoA hydratase [EC:4.2.1.17]	8.9e-71
3813	KOfam	K16264	cobalt-zinc-cadmium efflux system protein	2.3e-114
3800	KOfam	K01915	glutamine synthetase [EC:6.3.1.2]	1.8e-98
3711	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	2.1e-24
3699	KOfam	K00997	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	1.4e-48
3718	KOfam	K21420	leucyl-tRNA---protein transferase [EC:2.3.2.29]	1.6e-99
3701	KOfam	K03685	ribonuclease III [EC:3.1.26.3]	6.6e-70
3792	KOfam	K02996	small subunit ribosomal protein S9	2.9e-70
3717	KOfam	K03322	manganese transport protein	2.5e-188
3751	KOfam	K07795	putative tricarboxylic transport membrane protein	2.9e-32
3741	KOfam	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]	4.8e-133
3740	KOfam	K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]	3.3e-73
3691	KOfam	K03282	large conductance mechanosensitive channel	3.4e-56
3748	KOfam	K00946	thiamine-monophosphate kinase [EC:2.7.4.16]	1.7e-103
3754	KOfam	K07040	DUF177 domain-containing protein	1.4e-16
3702	KOfam	K03595	GTPase	6.7e-121
3708	KOfam	K07240	chromate transporter	3.2e-71
3681	KOfam	K01426	amidase [EC:3.5.1.4]	2e-104
3755	KOfam	K03621	phosphate acyltransferase [EC:2.3.1.274]	2.7e-132
3784	KOfam	K02259	heme a synthase [EC:1.17.99.9]	7.8e-101
3736	KOfam	K07484	transposase	2.8e-16
3787	KOfam	K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	5.7e-215
3747	KOfam	K03625	transcription antitermination protein NusB	4.3e-41
