gene_callers_id	source	accession	function	e_value
531	KOfam	K19707	sigma-B regulation protein RsbQ	1.4e-129
563	KOfam	K02509	2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]	4e-131
559	KOfam	K07507	putative Mg2+ transporter-C (MgtC) family protein	9.1e-43
473	KOfam	K07313	serine/threonine protein phosphatase 1 [EC:3.1.3.16]	2.4e-75
445	KOfam	K12508	feruloyl-CoA synthase [EC:6.2.1.34]	6.4e-225
573	KOfam	K05774	ribose 1,5-bisphosphokinase [EC:2.7.4.23]	3.2e-68
505	KOfam	K00433	non-heme chloroperoxidase [EC:1.11.1.10]	1.3e-135
436	KOfam	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	2.5e-130
465	KOfam	K02343	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	1.1e-76
508	KOfam	K00384	thioredoxin reductase (NADPH) [EC:1.8.1.9]	1.1e-103
497	KOfam	K06287	nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]	4e-74
572	KOfam	K07006	uncharacterized protein	7.5e-41
450	KOfam	K16137	TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon	2.5e-49
561	KOfam	K10221	2-pyrone-4,6-dicarboxylate lactonase [EC:3.1.1.57]	6.4e-104
576	KOfam	K05781	putative phosphonate transport system ATP-binding protein	2.5e-143
441	KOfam	K00799	glutathione S-transferase [EC:2.5.1.18]	3.3e-26
514	KOfam	K14060	putative DNA-invertase from lambdoid prophage Rac	3.1e-48
435	KOfam	K23948	NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]	6.7e-164
575	KOfam	K05780	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]	1.8e-111
566	KOfam	K07795	putative tricarboxylic transport membrane protein	9.2e-83
500	KOfam	K00013	histidinol dehydrogenase [EC:1.1.1.23]	2.5e-193
528	KOfam	K13587	two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]	1.7e-140
524	KOfam	K01545	potassium-transporting ATPase KdpF subunit	2.5e-07
435	KOfam	K00459	nitronate monooxygenase [EC:1.13.12.16]	2.5e-79
461	KOfam	K07487	transposase	2.4e-130
574	KOfam	K06162	alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]	1.9e-148
577	KOfam	K06163	alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]	1.8e-168
549	KOfam	K07080	uncharacterized protein	8.8e-33
568	KOfam	K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	8.7e-224
496	KOfam	K09862	uncharacterized protein	1.3e-23
446	KOfam	K01999	branched-chain amino acid transport system substrate-binding protein	2.6e-57
578	KOfam	K06164	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]	8.8e-127
579	KOfam	K06165	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37]	6.6e-67
1122	KOfam	K01997	branched-chain amino acid transport system permease protein	1.3e-86
1086	KOfam	K24915	TMEM175 potassium channel family protein	3.2e-24
1128	KOfam	K24269	5-deoxyribulose 1-phosphate aldolase [EC:4.1.2.62]	6.8e-97
1123	KOfam	K01995	branched-chain amino acid transport system ATP-binding protein	3.5e-115
1062	KOfam	K03406	methyl-accepting chemotaxis protein	3.3e-72
1090	KOfam	K08369	MFS transporter, putative metabolite:H+ symporter	2.8e-147
1128	KOfam	K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17]	4.2e-77
1120	KOfam	K03407	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	1e-215
