Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12447_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_900129425.1.fna.gz	100.0000	100.0000	95.14	0.525	94.91-95.33	0.525	0.49-0.57	1	1.998	3458/38156	92.55	0	LT670817.1 Bradyrhizobium erythrophlei strain GAS138 genome assembly, chromosome: I
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12818_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_000472925.1.fna.gz	100.0000	100.0000	95.84	0.520	95.69-95.99	0.520	0.49-0.56	1	1.768	4846/42784	93.22	0	AXAS01000001.1 Bradyrhizobium sp. Ec3.3 YUUDRAFT_scaffold_0.1_C, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_018130385.1.fna.gz	31.3721	33.8524	95.39	0.624	95.20-95.54	0.624	0.58-0.67	1	1.626	3813/34779	93.12	814	JAFCLU010000001.1 Bradyrhizobium sp. AUGA SZCCT0283 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_023387735.1.fna.gz	24.3757	20.0206	96.29	0.485	96.05-96.53	0.485	0.44-0.52	1	1.775	3250/26431	93.46	0	JAEWHP010000010.1 MAG: Proteobacteria bacterium isolate OH_PBlB_71 k127_1011274, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_001593325.1.fna.gz	16.6655	16.8119	96.20	0.332	95.95-96.43	0.332	0.30-0.36	1	1.560	2824/32013	92.47	181	JXJM01000002.1 Bradyrhizobium sp. DOA1 contig00202, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_018131185.1.fna.gz	14.4782	13.4442	95.49	0.288	95.11-95.76	0.288	0.26-0.33	1	1.420	1853/30053	91.40	920	JAFCJE010000001.1 Bradyrhizobium diazoefficiens strain SZCCT0449 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12824_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_004634465.1.fna.gz	13.1085	15.8709	95.19	0.261	94.84-95.54	0.261	0.23-0.30	1	1.399	1990/38931	90.85	1250	SPVJ01000001.1 Bradyrhizobium sp. MOS001 mos001v2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12819_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_401592_Strain_1.fna.gz	100.0000	100.0000	95.73	0.862	95.61-95.85	0.862	0.82-0.90	2	2.616	5411/34492	94.20	0	CP067102.1
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12816_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_12816_Strain_1.fna.gz	100.0000	100.0000	98.08	0.648	97.96-98.18	0.648	0.62-0.68	2	2.564	9614/34460	95.97	0	CP067102.1
/scratch/alpine/clbd1748/Australia_copy/QC_reads/12903_HCN77BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_900129505.1.fna.gz	67.6346	67.8561	96.56	1.000	96.47-96.63	1.000	0.96-1.04	1	1.910	8542/39036	95.22	0	LT670818.1 Bradyrhizobium erythrophlei strain GAS242 genome assembly, chromosome: I
