Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/138538_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_138538_Strain_1.fna.gz	46.4595	47.7914	98.71	0.648	98.62-98.83	0.648	0.62-0.67	1	1.992	11379/34459	96.49	0	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/138538_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_138538_Strain_2.fna.gz	28.2791	29.0898	96.19	0.394	95.97-96.37	0.394	0.36-0.42	1	1.732	3499/34552	92.88	3521	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/138538_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_000518345.1.fna.gz	25.2614	23.1188	95.78	0.352	95.48-96.05	0.352	0.31-0.39	1	1.538	2484/30848	92.19	1111	KI912426.1 Bradyrhizobium sp. URHA0013 genomic scaffold N551DRAFT_scaffold00001.1, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/12816_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_12816_Strain_1.fna.gz	100.0000	100.0000	98.08	0.648	97.96-98.18	0.648	0.62-0.68	2	2.564	9614/34460	95.97	0	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401548_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_401548_Strain_1.fna.gz	32.8734	31.8167	98.94	0.675	98.85-99.03	0.675	0.65-0.70	1	2.017	12548/34418	96.80	0	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401548_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_401548_Strain_2.fna.gz	22.9316	22.1944	96.12	0.471	95.92-96.32	0.471	0.44-0.50	1	1.734	3922/34422	93.23	3120	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401548_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_018130785.1.fna.gz	22.3197	22.1816	97.83	0.458	97.68-98.02	0.458	0.43-0.48	1	1.482	6851/35882	94.80	2272	JAFCJT010000001.1 Bradyrhizobium liaoningense strain SZCCT0399 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401548_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_900011265.1.fna.gz	21.8754	23.8073	95.48	0.449	95.28-95.69	0.449	0.41-0.48	1	1.501	3336/37854	92.46	4263	LN907826.1 Bradyrhizobium sp. G22 genome assembly, chromosome: I
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401550_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_401550_Strain_1.fna.gz	22.7304	23.4572	98.98	0.693	98.87-99.09	0.693	0.66-0.72	1	2.006	12935/34468	96.89	0	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401550_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_018130785.1.fna.gz	19.5584	20.7251	98.44	0.597	98.33-98.54	0.597	0.57-0.62	1	1.503	10117/35882	96.00	2356	JAFCJT010000001.1 Bradyrhizobium liaoningense strain SZCCT0399 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401550_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_029714305.1.fna.gz	15.8233	16.2293	95.21	0.483	94.96-95.41	0.483	0.44-0.53	1	1.665	2913/34071	92.37	1742	CP121647.1 Bradyrhizobium sp. CB3481 chromosome, complete genome
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401550_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_Reference.fna.gz	13.9924	14.4399	95.34	0.427	95.12-95.54	0.427	0.40-0.46	1	1.402	2784/34463	92.20	3962	CP067102.1 Bradyrhizobium diazoefficiens strain 36_1 chromosome, complete genome
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401550_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/Brady_401550_Strain_2.fna.gz	13.5263	13.9588	96.28	0.413	96.10-96.50	0.413	0.38-0.44	1	1.661	3740/34594	93.08	3465	CP067102.1
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401550_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_018130565.1.fna.gz	7.3543	7.4439	95.12	0.224	94.77-95.48	0.224	0.19-0.25	1	1.292	1492/34215	90.39	3629	JAFCKG010000001.1 Bradyrhizobium liaoningense strain SZCCT0337 NODE_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401550_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_025936395.1.fna.gz	7.0149	3.7458	97.37	0.214	96.90-97.85	0.214	0.18-0.25	1	1.342	1526/17572	92.42	98	JAICTL010000065.1 MAG: Bradyrhizobium sp. isolate GZL_HYHR_2_bin.111 k141_1003146_length_11125_cov_22.9060, whole genome shotgun sequence
/scratch/alpine/clbd1748/POGENOM/Input_POGENOM/RAW_DATA/Reads/Aus/401553_R1.fastq.gz	/scratch/alpine/clbd1748/Australia_copy/Brady993/GCA_018130385.1.fna.gz	25.5162	25.8711	95.83	0.767	95.72-95.96	0.767	0.73-0.81	1	1.903	5066/34779	93.97	1212	JAFCLU010000001.1 Bradyrhizobium sp. AUGA SZCCT0283 NODE_1, whole genome shotgun sequence
