Sample	Genome	Coverage	Bases
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	0	1086576
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	1	568444
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	2	483602
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	3	362074
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	4	230552
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	5	142166
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	6	88017
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	7	55052
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	8	37120
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	9	26280
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	10	19135
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	11	15245
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	12	11459
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	13	9559
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	14	8072
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	15	6416
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	16	5527
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	17	4836
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	18	4288
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	19	3844
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	20	3081
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	21	2594
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	22	2477
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	23	2057
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	24	1878
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	25	1702
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	26	1483
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	27	1274
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	28	1274
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	29	997
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	30	956
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	31	839
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	32	791
12816_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	33	806
