Sample	Genome	Coverage	Bases
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	0	4819894
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	1	534431
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	2	210127
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	3	109321
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	4	56710
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	5	31762
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	6	19900
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	7	11421
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	8	7072
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	9	4899
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	10	3413
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	11	2594
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	12	1978
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	13	1478
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	14	1287
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	15	1497
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	16	1234
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	17	1023
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	18	775
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	19	674
14185_HCN77BCXX-2_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	20	679
