Sample	Genome	Coverage	Bases
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	0	1679372
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	1	613415
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	2	341335
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	3	199121
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	4	118546
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	5	72250
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	6	46743
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	7	30603
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	8	21664
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	9	15314
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	10	11062
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	11	7956
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	12	6073
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	13	5295
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	14	4311
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	15	3259
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	16	2692
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	17	2060
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	18	1885
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	19	1602
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	20	1398
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	21	1090
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	22	1123
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	23	804
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	24	809
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	25	558
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	26	716
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	27	626
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	28	589
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	29	415
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	30	436
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	31	499
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	32	441
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	33	293
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	34	303
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	35	335
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	36	274
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	37	186
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	38	130
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	39	214
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	40	135
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	41	191
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	42	136
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	43	105
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	44	91
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	45	95
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	46	91
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	47	69
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	48	102
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	49	128
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	50	79
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	51	143
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	52	57
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	53	55
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	54	60
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	55	56
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	56	44
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	57	24
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	58	65
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	59	54
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	60	53
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	61	52
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	62	50
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	63	56
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	64	68
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	65	63
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	66	60
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	67	88
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	68	63
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	69	32
12838_combined_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	70	65
