Sample	Genome	Coverage	Bases
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	0	2273543
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	1	1248161
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	2	807431
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	3	479162
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	4	282841
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	5	181850
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	6	124408
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	7	85533
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	8	59623
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	9	43819
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	10	32197
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	11	24832
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	12	19437
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	13	15911
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	14	12846
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	15	11643
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	16	9438
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	17	7852
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	18	7358
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	19	6107
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	20	5527
7077_combined_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	21	4693
