Sample	Genome	Coverage	Bases
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	0	4046664
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	1	621376
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	2	333218
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	3	217178
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	4	150175
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	5	107798
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	6	80140
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	7	56372
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	8	42958
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	9	34478
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	10	28453
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	11	21239
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	12	15934
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	13	12822
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	14	9533
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	15	7781
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	16	6039
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	17	5104
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	18	3683
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	19	3344
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	20	2326
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	21	1917
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	22	1997
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	23	1955
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	24	1395
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	25	1292
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	26	1136
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	27	834
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	28	844
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	29	873
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	30	834
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	31	723
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	32	761
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	33	666
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	34	595
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	35	635
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	36	569
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	37	506
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	38	362
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	39	266
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	40	258
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	41	281
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	42	262
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	43	227
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	44	218
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	45	210
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	46	258
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	47	187
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	48	176
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	49	159
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	50	207
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	51	185
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	52	154
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	53	123
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	54	140
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	55	153
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	56	142
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	57	164
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	58	115
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	59	87
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	60	69
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	61	83
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	62	80
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	63	86
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	64	86
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	65	85
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	66	91
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	67	110
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	68	69
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	69	111
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	70	44
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	71	57
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	72	56
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	73	43
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	74	34
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	75	31
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	76	28
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	77	21
12903_HCN77BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	78	23
