Sample	Genome	Coverage	Bases
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	0	7067935
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	1	544676
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	2	157763
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	3	71473
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	4	42503
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	5	28527
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	6	21534
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	7	18065
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	8	13956
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	9	11999
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	10	10030
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	11	8719
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	12	7041
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	13	5976
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	14	5159
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	15	4843
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	16	4453
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	17	3846
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	18	3307
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	19	3063
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	20	2913
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	21	2247
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	22	2270
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	23	2164
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	24	2311
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	25	1921
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	26	1427
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	27	1293
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	28	1266
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	29	1184
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	30	1256
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	31	891
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	32	995
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	33	999
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	34	1166
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	35	1007
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	36	861
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	37	942
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	38	739
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	39	701
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	40	722
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	41	638
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	42	459
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	43	444
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	44	475
8164_combined_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	45	539
